datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2023-01-29T23:18:47.127517317+09:00,34137,33239,76281,60787,14830
2023-01-30T01:26:49.562455778+09:00,34729,33788,77642,61829,14935
2023-01-30T03:22:57.248253651+09:00,34836,33925,77887,61982,14955
2023-01-30T05:19:41.748513561+09:00,34873,33952,77981,62046,14959
2023-01-30T07:18:49.098896474+09:00,34955,34024,78175,62189,14966
2023-01-30T10:38:25.603268884+09:00,35173,34237,78664,62575,14996
2023-01-30T11:41:29.296350612+09:00,35200,34271,78717,62623,15003
2023-01-30T13:24:22.955764039+09:00,35321,34379,79002,62835,15017
2023-01-30T15:26:17.049045806+09:00,35414,34474,79209,62996,15039
2023-01-30T17:26:51.009911972+09:00,35586,34644,79574,63320,15062
2023-01-30T19:23:37.266327578+09:00,35849,34885,80228,63739,15098
2023-01-30T21:42:01.652286456+09:00,36395,35416,81536,64617,15159
2023-01-30T23:19:48.075757017+09:00,36956,35960,82766,65639,15223
2023-01-31T01:29:12.948240387+09:00,37708,36672,84540,66902,15321
2023-01-31T03:25:23.647863689+09:00,37818,36798,84779,67087,15339
2023-01-31T05:21:24.601464270+09:00,37873,36860,84895,67184,15346
2023-01-31T07:19:30.900740587+09:00,38008,36978,85208,67424,15361
2023-01-31T10:47:21.945933569+09:00,38267,37238,85809,67855,15390
2023-01-31T11:49:39.707985045+09:00,38319,37288,85929,67943,15399
2023-01-31T13:24:38.928810537+09:00,38443,37394,86216,68170,15418
2023-01-31T15:26:11.695711606+09:00,38533,37502,86384,68343,15431
2023-01-31T17:26:17.024866401+09:00,38623,37601,86581,68495,15448
2023-01-31T19:22:00.248202419+09:00,38768,37741,86890,68769,15462
2023-01-31T21:39:57.023484565+09:00,39193,38125,87857,69537,15503
2023-01-31T23:20:12.997395732+09:00,39712,38635,89075,70397,15557
2023-02-01T01:29:26.767125926+09:00,40397,39255,90609,71659,15643
2023-02-01T03:25:04.303880429+09:00,40553,39434,90951,71917,15667
2023-02-01T05:21:33.357987379+09:00,40600,39481,91060,71996,15674
2023-02-01T07:19:40.961680488+09:00,40703,39578,91286,72187,15686
2023-02-01T10:55:57.040075433+09:00,41026,39902,92002,72758,15709
2023-02-01T11:59:08.234626817+09:00,41083,39950,92161,72836,15714
2023-02-01T13:25:36.946970102+09:00,41295,40176,92618,73212,15774
2023-02-01T15:26:16.670491294+09:00,41402,40287,92863,73391,15809
2023-02-01T17:26:14.661678376+09:00,41492,40383,93046,73562,15836
2023-02-01T19:23:06.285587197+09:00,41648,40531,93391,73848,15869
2023-02-01T21:41:30.079593583+09:00,42132,40988,94469,74726,15918
2023-02-01T23:20:18.577104042+09:00,42701,41516,95777,75727,15995
2023-02-02T01:29:05.876737188+09:00,43458,42234,97472,77074,16108
2023-02-02T03:25:43.570944148+09:00,43577,42349,97716,77309,16139
2023-02-02T05:21:41.431802068+09:00,43629,42414,97813,77405,16148
2023-02-02T07:20:04.214577977+09:00,43768,42551,98142,77631,16165
2023-02-02T10:46:27.565224415+09:00,44019,42794,98738,78045,16204
2023-02-02T11:48:51.503006884+09:00,44081,42849,98888,78149,16220
2023-02-02T13:25:27.000603307+09:00,44233,43019,99198,78425,16249
2023-02-02T15:25:24.059970196+09:00,44331,43113,99412,78604,16269
2023-02-02T17:26:15.963004415+09:00,44409,43201,99578,78739,16281
2023-02-02T19:22:10.258041734+09:00,44546,43320,99879,79004,16300
2023-02-02T21:41:33.914212276+09:00,44996,43764,100908,79779,16342
2023-02-02T23:19:59.960287173+09:00,45518,44280,102113,80664,16389
2023-02-03T01:29:48.516582393+09:00,46177,44937,103579,81830,16453
2023-02-03T03:25:14.306940942+09:00,46280,45039,103806,82016,16465
2023-02-03T05:21:33.953000078+09:00,46337,45091,103948,82107,16469
2023-02-03T07:19:49.086300645+09:00,46450,45218,104196,82295,16477
2023-02-03T10:47:19.929393978+09:00,46721,45470,104808,82784,16506
2023-02-03T11:51:43.944098750+09:00,46751,45498,104880,82834,16510
2023-02-03T13:25:30.864911505+09:00,46851,45604,105091,83016,16519
2023-02-03T15:26:01.266677711+09:00,46928,45687,105261,83148,16524
2023-02-03T17:24:46.563957719+09:00,47009,45768,105448,83285,16533
2023-02-03T19:22:13.663700822+09:00,47130,45900,105710,83492,16543
2023-02-03T21:39:00.590969667+09:00,47439,46215,106421,84007,16571
2023-02-03T23:20:13.563875684+09:00,48117,46846,108119,85063,16611
2023-02-04T01:28:51.164885535+09:00,48949,47585,110062,86531,16655
2023-02-04T03:25:06.222712447+09:00,49076,47711,110353,86748,16676
2023-02-04T05:21:13.210586651+09:00,49130,47777,110470,86834,16683
2023-02-04T07:19:28.278985481+09:00,49225,47853,110687,87016,16692
2023-02-04T10:41:23.061993611+09:00,49505,48148,111328,87475,16721
2023-02-04T11:40:15.867966528+09:00,49585,48218,111512,87621,16732
2023-02-04T13:23:55.921267227+09:00,49710,48332,111796,87848,16750
2023-02-04T15:24:00.934712386+09:00,49887,48501,112175,88182,16765
2023-02-04T17:24:12.823514262+09:00,50102,48700,112646,88585,16799
2023-02-04T19:20:18.704520742+09:00,50299,48882,113087,88945,16826
2023-02-04T21:36:43.584577737+09:00,50673,49207,113941,89627,16856
2023-02-04T23:17:42.388246547+09:00,51051,49621,114771,90261,16893
2023-02-05T01:27:19.935052095+09:00,51672,50224,116188,91341,16949
2023-02-05T03:23:04.879595272+09:00,51773,50314,116429,91514,16968
2023-02-05T05:19:56.013941118+09:00,51821,50368,116542,91587,16976
2023-02-05T07:18:36.289322324+09:00,51888,50439,116697,91696,16981
2023-02-05T10:50:50.668842273+09:00,52196,50751,117445,92173,17013
2023-02-05T11:53:35.848920639+09:00,52297,50848,117698,92328,17026
2023-02-05T13:24:03.462642893+09:00,52460,51013,118055,92619,17047
2023-02-05T15:23:42.274708299+09:00,52614,51171,118397,92883,17066
2023-02-05T17:24:26.091224640+09:00,52774,51327,118758,93163,17079
2023-02-05T19:20:49.811307284+09:00,52966,51522,119164,93520,17106
2023-02-05T21:36:29.520697289+09:00,53428,52025,120166,94319,17150
2023-02-05T23:18:00.127093173+09:00,53931,52514,121257,95245,17197
2023-02-06T01:26:51.276041924+09:00,54651,53234,122893,96484,17265
2023-02-06T03:22:53.254316665+09:00,54761,53345,123122,96694,17284
2023-02-06T05:19:56.512564804+09:00,54788,53377,123186,96733,17285
2023-02-06T07:19:12.097329161+09:00,54901,53471,123470,96918,17296
2023-02-06T10:41:32.694108605+09:00,55127,53677,123994,97318,17315
2023-02-06T11:42:53.628016909+09:00,55173,53720,124093,97405,17323
2023-02-06T13:24:40.677496115+09:00,55293,53835,124355,97628,17335
2023-02-06T15:26:06.834352335+09:00,55366,53905,124507,97771,17343
2023-02-06T17:26:51.689002506+09:00,55448,53999,124697,97897,17352
2023-02-06T19:23:08.613739431+09:00,55634,54230,125063,98227,17363
2023-02-06T21:41:11.549647442+09:00,56034,54655,125945,98914,17389
2023-02-06T23:19:53.810337261+09:00,56454,55046,126873,99688,17412
2023-02-07T01:29:02.148837771+09:00,57089,55687,128347,100744,17458
2023-02-07T03:25:11.071539636+09:00,57195,55793,128569,100944,17471
2023-02-07T05:22:07.326334731+09:00,57236,55832,128667,101011,17475
2023-02-07T07:19:33.090517616+09:00,57354,55953,128935,101211,17482
2023-02-07T10:42:05.164664943+09:00,57581,56173,129460,101601,17501
2023-02-07T11:42:15.862555064+09:00,57620,56211,129548,101670,17505
2023-02-07T13:25:10.577290992+09:00,57730,56320,129807,101852,17509
2023-02-07T15:25:23.356938475+09:00,57807,56403,129958,102001,17519
2023-02-07T17:26:01.453909551+09:00,57882,56469,130125,102143,17524
2023-02-07T19:22:05.311754500+09:00,57989,56573,130376,102323,17529
2023-02-07T21:40:27.177873707+09:00,58379,56951,131272,102995,17553
2023-02-07T23:19:50.395111021+09:00,58824,57359,132294,103788,17594
2023-02-08T01:30:04.690472153+09:00,59495,58000,133841,104946,17649
2023-02-08T03:25:28.510749649+09:00,59579,58100,134025,105082,17657
2023-02-08T05:21:47.853018855+09:00,59621,58145,134117,105155,17665
2023-02-08T07:20:06.625216278+09:00,59749,58278,134407,105367,17670
2023-02-08T10:46:44.518694483+09:00,60004,58539,134979,105807,17692
2023-02-08T11:50:58.189666279+09:00,60056,58582,135088,105915,17700
2023-02-08T13:26:08.771286539+09:00,60171,58696,135317,106147,17706
2023-02-08T15:24:57.374352471+09:00,60249,58764,135505,106280,17715
2023-02-08T17:26:34.776948238+09:00,60328,58848,135678,106417,17723
2023-02-08T19:25:36.126998628+09:00,60493,59019,136040,106708,17737
2023-02-08T21:40:11.223113558+09:00,61121,59648,137496,107757,17798
2023-02-08T23:20:36.397322312+09:00,61596,60117,138487,108666,17841
2023-02-09T01:30:20.280976321+09:00,62150,60593,139793,109649,17885
